"","par","est","se","true","method","id","seed","n","skew","ncat","admissible","time"
"93","X=~x2",0.551,0.299,0.5,"Mplus",1202,2859713,200,"Symmetric","2",TRUE,47.87
"94","X=~x3",0.436,0.257,0.5,"Mplus",1202,2859713,200,"Symmetric","2",TRUE,47.87
"95","Z=~z1",0.324,0.129,0.5,"Mplus",1202,2859713,200,"Symmetric","2",TRUE,47.87
"96","Z=~z2",0.376,0.203,0.5,"Mplus",1202,2859713,200,"Symmetric","2",TRUE,47.87
"97","Z=~z3",0.791,0.319,0.5,"Mplus",1202,2859713,200,"Symmetric","2",TRUE,47.87
"98","Y=~y1",0.382,0.139,0.5,"Mplus",1202,2859713,200,"Symmetric","2",TRUE,47.87
"99","Y=~y2",0.391,0.206,0.5,"Mplus",1202,2859713,200,"Symmetric","2",TRUE,47.87
"100","Y=~y3",0.368,0.156,0.5,"Mplus",1202,2859713,200,"Symmetric","2",TRUE,47.87
"101","Y~X",0.032,0.36,0.4,"Mplus",1202,2859713,200,"Symmetric","2",TRUE,47.87
"102","Y~Z",0.851,0.324,0.5,"Mplus",1202,2859713,200,"Symmetric","2",TRUE,47.87
"103","Y~X:Z",0.219,0.888,0.3,"Mplus",1202,2859713,200,"Symmetric","2",TRUE,47.87
"104","X~~Z",0.308,0.195,0.2,"Mplus",1202,2859713,200,"Symmetric","2",TRUE,47.87
"105","X=~x1",0.831101427383539,0.054595941800228,0.8,"MC-OrdPLSc",1203,5071634,500,"Symmetric","2",TRUE,15.19
"106","X=~x2",0.821845654595164,0.050262710366121,0.8,"MC-OrdPLSc",1203,5071634,500,"Symmetric","2",TRUE,15.19
"107","X=~x3",0.765234512935423,0.0608854033288657,0.8,"MC-OrdPLSc",1203,5071634,500,"Symmetric","2",TRUE,15.19
"108","Z=~z1",0.779335532584156,0.047076587530558,0.8,"MC-OrdPLSc",1203,5071634,500,"Symmetric","2",TRUE,15.19
